x,y,u_x,u_y,p
0.000000000000000000e+00,0.000000000000000000e+00,9.962581098079681396e-04,-4.618487656116485596e-01,9.991925358772277832e-01
0.000000000000000000e+00,1.000000000000000021e-02,7.595084607601165771e-04,-4.518159031867980957e-01,1.078436732292175293e+00
0.000000000000000000e+00,2.000000000000000042e-02,5.517266690731048584e-04,-4.418179988861083984e-01,1.157144904136657715e+00
0.000000000000000000e+00,2.999999999999999889e-02,3.706365823745727539e-04,-4.318552315235137939e-01,1.235236883163452148e+00
0.000000000000000000e+00,4.000000000000000083e-02,2.145767211914062500e-04,-4.219284355640411377e-01,1.312631011009216309e+00
0.000000000000000000e+00,5.000000000000000278e-02,8.145347237586975098e-05,-4.120377004146575928e-01,1.389234423637390137e+00
0.000000000000000000e+00,5.999999999999999778e-02,-3.056228160858154297e-05,-4.021834433078765869e-01,1.464959621429443359e+00
0.000000000000000000e+00,7.000000000000000666e-02,-1.230910420417785645e-04,-3.923659026622772217e-01,1.539716601371765137e+00
0.000000000000000000e+00,8.000000000000000167e-02,-1.981779932975769043e-04,-3.825867772102355957e-01,1.613406777381896973e+00
0.000000000000000000e+00,8.999999999999999667e-02,-2.571046352386474609e-04,-3.728455901145935059e-01,1.685939788818359375e+00
0.000000000000000000e+00,1.000000000000000056e-01,-3.014169633388519287e-04,-3.631432056427001953e-01,1.757222294807434082e+00
0.000000000000000000e+00,1.100000000000000006e-01,-3.328174352645874023e-04,-3.534806966781616211e-01,1.827162265777587891e+00
0.000000000000000000e+00,1.199999999999999956e-01,-3.528520464897155762e-04,-3.438577353954315186e-01,1.895669102668762207e+00
0.000000000000000000e+00,1.300000000000000044e-01,-3.630146384239196777e-04,-3.342750966548919678e-01,1.962660670280456543e+00
0.000000000000000000e+00,1.400000000000000133e-01,-3.643222153186798096e-04,-3.247328400611877441e-01,2.028050661087036133e+00
0.000000000000000000e+00,1.499999999999999944e-01,-3.583841025829315186e-04,-3.152311146259307861e-01,2.091765642166137695e+00
0.000000000000000000e+00,1.600000000000000033e-01,-3.464892506599426270e-04,-3.057697713375091553e-01,2.153731346130371094e+00
0.000000000000000000e+00,1.700000000000000122e-01,-3.298968076705932617e-04,-2.963487505912780762e-01,2.213879823684692383e+00
0.000000000000000000e+00,1.799999999999999933e-01,-3.096312284469604492e-04,-2.869671881198883057e-01,2.272155046463012695e+00
0.000000000000000000e+00,1.900000000000000022e-01,-2.868287265300750732e-04,-2.776254713535308838e-01,2.328499555587768555e+00
0.000000000000000000e+00,2.000000000000000111e-01,-2.624168992042541504e-04,-2.683226168155670166e-01,2.382866859436035156e+00
0.000000000000000000e+00,2.099999999999999922e-01,-2.373233437538146973e-04,-2.590580284595489502e-01,2.435218811035156250e+00
0.000000000000000000e+00,2.200000000000000011e-01,-2.124756574630737305e-04,-2.498316764831542969e-01,2.485521078109741211e+00
0.000000000000000000e+00,2.300000000000000100e-01,-1.884214580059051514e-04,-2.406423389911651611e-01,2.533748865127563477e+00
0.000000000000000000e+00,2.399999999999999911e-01,-1.657530665397644043e-04,-2.314900755882263184e-01,2.579884529113769531e+00
0.000000000000000000e+00,2.500000000000000000e-01,-1.447200775146484375e-04,-2.223732024431228638e-01,2.623920202255249023e+00
0.000000000000000000e+00,2.600000000000000089e-01,-1.258999109268188477e-04,-2.132925391197204590e-01,2.665847778320312500e+00
0.000000000000000000e+00,2.700000000000000178e-01,-1.093521714210510254e-04,-2.042462676763534546e-01,2.705674409866333008e+00
0.000000000000000000e+00,2.800000000000000266e-01,-9.509921073913574219e-05,-1.952343881130218506e-01,2.743410825729370117e+00
0.000000000000000000e+00,2.899999999999999800e-01,-8.330494165420532227e-05,-1.862559467554092407e-01,2.779072761535644531e+00
0.000000000000000000e+00,2.999999999999999889e-01,-7.361918687820434570e-05,-1.773103326559066772e-01,2.812683343887329102e+00
0.000000000000000000e+00,3.099999999999999978e-01,-6.568431854248046875e-05,-1.683968901634216309e-01,2.844269514083862305e+00
0.000000000000000000e+00,3.200000000000000067e-01,-5.944073200225830078e-05,-1.595142930746078491e-01,2.873865604400634766e+00
0.000000000000000000e+00,3.300000000000000155e-01,-5.442649126052856445e-05,-1.506623476743698120e-01,2.901505231857299805e+00
0.000000000000000000e+00,3.400000000000000244e-01,-5.011260509490966797e-05,-1.418392658233642578e-01,2.927230358123779297e+00
0.000000000000000000e+00,3.499999999999999778e-01,-4.605203866958618164e-05,-1.330443024635314941e-01,2.951079368591308594e+00
0.000000000000000000e+00,3.599999999999999867e-01,-4.217773675918579102e-05,-1.242759451270103455e-01,2.973098754882812500e+00
0.000000000000000000e+00,3.699999999999999956e-01,-3.761053085327148438e-05,-1.155331209301948547e-01,2.993331193923950195e+00
0.000000000000000000e+00,3.800000000000000044e-01,-3.223121166229248047e-05,-1.068141683936119080e-01,3.011821031570434570e+00
0.000000000000000000e+00,3.900000000000000133e-01,-2.581626176834106445e-05,-9.811729937791824341e-02,3.028612136840820312e+00
0.000000000000000000e+00,4.000000000000000222e-01,-1.788884401321411133e-05,-8.944100886583328247e-02,3.043748140335083008e+00
0.000000000000000000e+00,4.099999999999999756e-01,-8.627772331237792969e-06,-8.078344911336898804e-02,3.057268857955932617e+00
0.000000000000000000e+00,4.199999999999999845e-01,2.026557922363281250e-06,-7.214307039976119995e-02,3.069215297698974609e+00
0.000000000000000000e+00,4.299999999999999933e-01,1.412630081176757812e-05,-6.351736187934875488e-02,3.079619884490966797e+00
0.000000000000000000e+00,4.400000000000000022e-01,2.764910459518432617e-05,-5.490477383136749268e-02,3.088520050048828125e+00
0.000000000000000000e+00,4.500000000000000111e-01,4.215538501739501953e-05,-4.630322009325027466e-02,3.095942258834838867e+00
0.000000000000000000e+00,4.600000000000000200e-01,5.736202001571655273e-05,-3.771053254604339600e-02,3.101912975311279297e+00
0.000000000000000000e+00,4.699999999999999734e-01,7.304549217224121094e-05,-2.912498079240322113e-02,3.106454610824584961e+00
0.000000000000000000e+00,4.799999999999999822e-01,8.868426084518432617e-05,-2.054442651569843292e-02,3.109585285186767578e+00
0.000000000000000000e+00,4.899999999999999911e-01,1.037344336509704590e-04,-1.196627877652645111e-02,3.111316204071044922e+00
0.000000000000000000e+00,5.000000000000000000e-01,1.179873943328857422e-04,-3.389282152056694031e-03,3.111659526824951172e+00
0.000000000000000000e+00,5.100000000000000089e-01,1.307353377342224121e-04,5.189200863242149353e-03,3.110616683959960938e+00
0.000000000000000000e+00,5.200000000000000178e-01,1.416131854057312012e-04,1.377108506858348846e-02,3.108188152313232422e+00
0.000000000000000000e+00,5.300000000000000266e-01,1.504160463809967041e-04,2.235825918614864349e-02,3.104369640350341797e+00
0.000000000000000000e+00,5.400000000000000355e-01,1.566484570503234863e-04,3.095296211540699005e-02,3.099150419235229492e+00
0.000000000000000000e+00,5.500000000000000444e-01,1.600608229637145996e-04,3.955727070569992065e-02,3.092517614364624023e+00
0.000000000000000000e+00,5.600000000000000533e-01,1.603513956069946289e-04,4.817301034927368164e-02,3.084450006484985352e+00
0.000000000000000000e+00,5.699999999999999512e-01,1.577660441398620605e-04,5.680221319198608398e-02,3.074926853179931641e+00
0.000000000000000000e+00,5.799999999999999600e-01,1.520439982414245605e-04,6.544682383537292480e-02,3.063920497894287109e+00
0.000000000000000000e+00,5.899999999999999689e-01,1.435354351997375488e-04,7.410902529954910278e-02,3.051400184631347656e+00
0.000000000000000000e+00,5.999999999999999778e-01,1.323744654655456543e-04,8.279068022966384888e-02,3.037330150604248047e+00
0.000000000000000000e+00,6.099999999999999867e-01,1.187771558761596680e-04,9.149321168661117554e-02,3.021675586700439453e+00
0.000000000000000000e+00,6.199999999999999956e-01,1.032166182994842529e-04,1.002186238765716553e-01,3.004395484924316406e+00
0.000000000000000000e+00,6.300000000000000044e-01,8.662790060043334961e-05,1.089683547616004944e-01,2.985447883605957031e+00
0.000000000000000000e+00,6.400000000000000133e-01,6.897747516632080078e-05,1.177439019083976746e-01,2.964791774749755859e+00
0.000000000000000000e+00,6.500000000000000222e-01,5.107372999191284180e-05,1.265467405319213867e-01,2.942383289337158203e+00
0.000000000000000000e+00,6.600000000000000311e-01,3.392994403839111328e-05,1.353779584169387817e-01,2.918180465698242188e+00
0.000000000000000000e+00,6.700000000000000400e-01,1.759827136993408203e-05,1.442387551069259644e-01,2.892141819000244141e+00
0.000000000000000000e+00,6.800000000000000488e-01,3.322958946228027344e-06,1.531292498111724854e-01,2.864228725433349609e+00
0.000000000000000000e+00,6.899999999999999467e-01,-8.963048458099365234e-06,1.620509028434753418e-01,2.834406852722167969e+00
0.000000000000000000e+00,6.999999999999999556e-01,-1.830235123634338379e-05,1.710037291049957275e-01,2.802643299102783203e+00
0.000000000000000000e+00,7.099999999999999645e-01,-2.433359622955322266e-05,1.799884885549545288e-01,2.768910646438598633e+00
0.000000000000000000e+00,7.199999999999999734e-01,-2.693384885787963867e-05,1.890050917863845825e-01,2.733188629150390625e+00
0.000000000000000000e+00,7.299999999999999822e-01,-2.586841583251953125e-05,1.980534642934799194e-01,2.695462703704833984e+00
